,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__gamma,param_kpca__kernel,param_kpca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3363320827484131,0.04096899162116267,0.04036903381347656,0.0016652134998036887,0.005,rbf,50,"{'kpca__gamma': 0.005, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.5310344827586206,0.4850574712643678,0.4,0.47203065134099614,0.05428187202582323,6
1,0.4571526845296224,0.11197223105336071,0.04797442754109701,0.002743273224468552,0.005,rbf,100,"{'kpca__gamma': 0.005, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.5402298850574713,0.5080459770114942,0.40229885057471265,0.48352490421455935,0.05891918095552823,4
2,0.8911373615264893,0.0675996805452587,0.09118231137593587,0.006925133596530376,0.005,rbf,500,"{'kpca__gamma': 0.005, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.5448275862068965,0.5080459770114942,0.39770114942528734,0.48352490421455935,0.06251671434290004,4
3,0.2994530200958252,0.02681131364076869,0.04163463910420736,0.0016526333154625549,0.01,rbf,50,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.5448275862068965,0.5839080459770115,0.4689655172413793,0.5325670498084292,0.04771922598295868,1
4,0.3451871871948242,0.008601374419633828,0.05513842900594076,0.015878825695727995,0.01,rbf,100,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.5471264367816092,0.5632183908045977,0.46206896551724136,0.5241379310344828,0.044378336354238344,2
5,0.8395340442657471,0.005227868127561569,0.089295228322347,0.007994589903231146,0.01,rbf,500,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.5471264367816092,0.5678160919540229,0.4574712643678161,0.5241379310344828,0.047891187714941726,2
6,0.3189682960510254,0.05205119281717532,0.04024243354797363,0.0031447849880367174,0.1,rbf,50,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.3586206896551724,0.3333333333333333,0.3333333333333333,0.3417624521072797,0.011920574088968624,9
7,0.34007922808329266,0.004702421360473763,0.044141133626302086,0.0012968821558424547,0.1,rbf,100,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.36551724137931035,0.3333333333333333,0.3333333333333333,0.3440613026819923,0.015171639749596434,8
8,0.8007504145304362,0.003127584894629704,0.08318765958150227,0.0007819407886596931,0.1,rbf,500,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.3816091954022989,0.34022988505747126,0.3471264367816092,0.3563218390804597,0.018101167526463943,7
9,0.2895410855611165,0.011925035691718204,0.040378967920939125,0.0006683224573779,0.5,rbf,50,"{'kpca__gamma': 0.5, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
10,0.34817934036254883,0.027211494756122757,0.0464173952738444,0.0024759445487784466,0.5,rbf,100,"{'kpca__gamma': 0.5, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
11,0.752918004989624,0.031645281949706575,0.08391952514648438,0.0015996773169852409,0.5,rbf,500,"{'kpca__gamma': 0.5, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.3586206896551724,0.3333333333333333,0.3333333333333333,0.3417624521072797,0.011920574088968624,9
12,0.2673054536183675,0.02301424249858921,0.03775922457377116,0.0024981558511189207,1,rbf,50,"{'kpca__gamma': 1, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
13,0.33727463086446124,0.02140419018487789,0.04393688837687174,0.0021059417975718238,1,rbf,100,"{'kpca__gamma': 1, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.33793103448275863,0.3333333333333333,0.3333333333333333,0.33486590038314173,0.002167377107085216,12
14,0.7084609667460123,0.0015187691954140269,0.0877522627512614,0.0034084372175594655,1,rbf,500,"{'kpca__gamma': 1, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.35172413793103446,0.3333333333333333,0.3333333333333333,0.339463601532567,0.008669508428340812,11
15,0.2804273764292399,0.030132613035529037,0.03955221176147461,0.00287585490889627,5,rbf,50,"{'kpca__gamma': 5, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
16,0.3364933331807454,0.01679033693748866,0.07535672187805176,0.04419194961428772,5,rbf,100,"{'kpca__gamma': 5, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
17,0.7038411299387614,0.009599617644510335,0.08433802922566731,0.00027276101997449173,5,rbf,500,"{'kpca__gamma': 5, 'kpca__kernel': 'rbf', 'kpca__n_components': 500}",0.335632183908046,0.3333333333333333,0.3333333333333333,0.3340996168582375,0.0010836885535426212,13
